YEAR,MONTH,DAY,VALUE
1984,4,8,0.217
1984,4,9,0.086
1984,4,10,-0.179
1984,4,11,-0.384
1984,4,12,-0.346
1984,4,13,-0.381
1984,4,14,-0.192
1984,4,15,-0.063
1984,4,16,0.001
1984,4,17,0.144
1984,4,18,0.316
1984,4,19,0.475
1984,4,20,0.642
1984,4,21,0.754
1984,4,22,0.318
1984,4,23,-0.224
1984,4,24,-0.718
1984,4,25,-1.085
1984,4,26,-0.950
1984,4,27,-0.660
1984,4,28,-0.461
1984,4,29,-0.041
1984,4,30,0.027
1984,11,1,0.931
1984,11,2,0.805
1984,11,3,0.670
1984,11,4,0.404
1984,11,5,0.045
1984,11,6,-0.461
1984,11,7,-0.755
1984,11,8,-0.572
1984,11,9,-0.396
1984,11,10,-0.200
1984,11,11,-0.055
1984,11,12,-0.006
1984,11,13,-0.020
1984,11,14,-0.158
1984,11,15,-0.258
1984,11,16,-0.183
1984,11,17,-0.408
1984,11,18,-0.619
1984,11,19,-0.783
1984,11,20,-0.808
1984,11,21,-0.689
1984,11,22,-0.424
1984,11,23,-0.279
1984,11,24,-0.326
1984,11,25,-0.168
1984,11,26,0.578
1984,11,27,1.192
1984,11,28,1.343
1984,11,29,0.916
1984,11,30,0.293
1984,12,1,-0.795
1984,12,2,-0.555
1984,12,3,-0.713
1984,12,4,-0.781
1984,12,5,-0.642
1984,12,6,-0.203
1984,12,7,-0.056
1984,12,8,-0.091
1984,12,9,0.441
1984,12,10,0.562
1984,12,11,0.132
1984,12,12,-0.182
1984,12,13,-0.318
1984,12,14,-0.323
1984,12,15,-0.273
1984,12,16,0.035
1984,12,17,0.512
1984,12,18,0.955
1984,12,19,1.244
1984,12,20,1.412
1984,12,21,1.357
1984,12,22,1.050
1984,12,23,0.695
1984,12,24,0.609
1984,12,25,0.602
1984,12,26,0.337
1984,12,27,0.098
1984,12,28,-0.180
1984,12,29,-0.175
1984,12,30,0.033
1984,12,31,-0.109
1985,1,1,-0.277
1985,1,2,-0.611
1985,1,3,-0.828
1985,1,4,-1.275
1985,1,5,-1.574
1985,1,6,-1.702
1985,1,7,-1.712
1985,1,8,-1.640
1985,1,9,-1.390
1985,1,10,-0.749
1985,1,11,-0.281
1985,1,12,-0.185
1985,1,13,-0.524
1985,1,14,-0.794
1985,1,15,-0.693
1985,1,16,-0.971
1985,1,17,-1.385
1985,1,18,-1.612
1985,1,19,-1.638
1985,1,20,-1.465
1985,1,21,-1.043
1985,1,22,-0.567
1985,1,23,-0.309
1985,1,24,-0.300
1985,1,25,-0.327
1985,1,26,-0.288
1985,1,27,-0.444
1985,1,28,-0.597
1985,1,29,-0.527
1985,1,30,-0.614
1985,1,31,-0.668
1985,2,1,-0.705
1985,2,2,-0.596
1985,2,3,-0.440
1985,2,4,-0.572
1985,2,5,-0.956
1985,2,6,-1.122
1985,2,7,-0.998
1985,2,8,-1.057
1985,2,9,-1.058
1985,2,10,-0.708
1985,2,11,-0.442
1985,2,12,-0.434
1985,2,13,-0.402
1985,2,14,-0.416
1985,2,15,-0.247
1985,2,16,-0.033
1985,2,17,0.351
1985,2,18,0.765
1985,2,19,0.734
1985,2,20,0.514
1985,2,21,0.579
1985,2,22,0.821
1985,2,23,0.933
1985,2,24,0.948
1985,2,25,0.980
1985,2,26,0.806
1985,2,27,0.683
1985,2,28,0.680
1985,3,1,0.758
1985,3,2,0.433
1985,3,3,0.154
1985,3,4,0.310
1985,3,5,0.732
1985,3,6,0.904
1985,3,7,1.086
1985,3,8,1.402
1985,3,9,1.463
1985,3,10,1.248
1985,3,11,0.845
1985,3,12,0.562
1985,3,13,0.390
1985,3,14,0.158
1985,3,15,-0.045
1985,3,16,-0.006
1985,3,17,0.137
1985,3,18,0.343
1985,3,19,0.460
1985,3,20,0.394
1985,3,21,0.118
1985,3,22,-0.365
1985,3,23,-0.543
1985,3,24,-0.701
1985,3,25,-0.833
1985,3,26,-0.822
1985,3,27,-0.842
1985,3,28,-0.819
1985,3,29,-0.681
1985,3,30,-0.461
1985,3,31,-0.567
1985,4,1,-0.620
1985,4,2,-0.562
1985,4,3,-0.424
1985,4,4,-0.324
1985,4,5,-0.311
1985,4,6,-0.357
1985,4,7,-0.097
1985,4,8,0.435
1985,4,9,0.947
1985,4,10,1.476
1985,4,11,1.660
1985,4,12,1.674
1985,4,13,1.350
1985,4,14,0.967
1985,4,15,0.680
1985,4,16,0.545
1985,4,17,0.275
1985,4,18,-0.103
1985,4,19,-0.470
1985,4,20,-0.968
1985,4,21,-1.240
1985,4,22,-1.290
1985,4,23,-1.189
1985,4,24,-1.088
1985,4,25,-0.949
1985,4,26,-0.218
1985,4,27,0.653
1985,4,28,1.397
1985,4,29,1.582
1985,4,30,1.236
1985,11,1,-2.255
1985,11,2,-2.308
1985,11,3,-1.917
1985,11,4,-1.178
1985,11,5,-0.583
1985,11,6,-0.427
1985,11,7,-0.465
1985,11,8,-0.388
1985,11,9,-0.239
1985,11,10,0.167
1985,11,11,0.566
